id,other_social_response,fb_minutes,other_social_minutes,sum_social_minutes
10317,Between 2 and 3 hours,60,150,210
2812,Between 1 and 2 hours,120,90,210
17179,Between 2 and 3 hours,45,150,195
1725,More than 3 hours,300,180,480
46,More than 3 hours,400,180,580
21561,More than 3 hours,120,180,300
1268,Between 1 and 2 hours,30,90,120
1464,Between 1 and 30 minutes,200,15,215
12450,Between 31 minutes and 1 hour,120,45,165
17974,Between 31 minutes and 1 hour,90,45,135
21609,Between 1 and 30 minutes,200,15,215
20,More than 3 hours,60,180,240
23936,Between 1 and 2 hours,400,90,490
2227,Between 1 and 2 hours,160,90,250
22969,More than 3 hours,90,180,270
13599,Between 2 and 3 hours,240,150,390
497,Between 1 and 2 hours,60,90,150
11682,More than 3 hours,50,180,230
9969,Between 2 and 3 hours,60,150,210
539,Between 2 and 3 hours,60,150,210
20696,Between 31 minutes and 1 hour,20,45,65
13113,Between 2 and 3 hours,40,150,190
14514,Between 1 and 30 minutes,30,15,45
19867,More than 3 hours,120,180,300
21737,More than 3 hours,40,180,220
17972,More than 3 hours,75,180,255
11875,Between 1 and 30 minutes,200,15,215
23039,More than 3 hours,150,180,330
17451,More than 3 hours,60,180,240
1785,Between 1 and 2 hours,60,90,150
14742,Between 1 and 2 hours,100,90,190
2354,More than 3 hours,60,180,240
329,Between 1 and 2 hours,60,90,150
1621,More than 3 hours,360,180,540
19454,Between 1 and 30 minutes,120,15,135
22972,More than 3 hours,90,180,270
454,Between 2 and 3 hours,90,150,240
24300,More than 3 hours,60,180,240
1210,Between 31 minutes and 1 hour,180,45,225
2481,Between 2 and 3 hours,45,150,195
1644,Between 31 minutes and 1 hour,20,45,65
23107,Between 1 and 30 minutes,60,15,75
12462,Between 2 and 3 hours,240,150,390
2824,More than 3 hours,75,180,255
1672,Between 2 and 3 hours,1440,150,1590
18321,Between 31 minutes and 1 hour,360,45,405
15299,Between 2 and 3 hours,30,150,180
19417,0 minutes,28,0,28
1808,More than 3 hours,90,180,270
831,More than 3 hours,600,180,780
772,More than 3 hours,300,180,480
9856,More than 3 hours,90,180,270
1654,Between 1 and 2 hours,20,90,110
17695,Between 1 and 2 hours,180,90,270
11845,Between 2 and 3 hours,50,150,200
168,More than 3 hours,120,180,300
13364,More than 3 hours,60,180,240
20670,Between 1 and 2 hours,90,90,180
362,More than 3 hours,260,180,440
319,Between 31 minutes and 1 hour,25,45,70
18351,More than 3 hours,45,180,225
701,Between 1 and 2 hours,120,90,210
13498,More than 3 hours,90,180,270
9584,More than 3 hours,120,180,300
3087,More than 3 hours,30,180,210
1448,Between 1 and 30 minutes,240,15,255
2793,Between 2 and 3 hours,60,150,210
1645,Between 2 and 3 hours,180,150,330
23528,Between 2 and 3 hours,30,150,180
3092,More than 3 hours,60,180,240
464,Between 2 and 3 hours,15,150,165
11038,0 minutes,55,0,55
12023,More than 3 hours,60,180,240
1285,Between 1 and 2 hours,60,90,150
23629,Between 2 and 3 hours,60,150,210
2256,Between 2 and 3 hours,120,150,270
22311,Between 2 and 3 hours,45,150,195
1942,Between 31 minutes and 1 hour,90,45,135
3119,Between 1 and 2 hours,0,90,90
10675,More than 3 hours,100,180,280
11425,Between 31 minutes and 1 hour,90,45,135
19354,Between 2 and 3 hours,60,150,210
541,More than 3 hours,45,180,225
12664,Between 1 and 2 hours,60,90,150
